sheet_row,name,slug,sheet_category,category,veg_class,is_veg,base_price_inr,base_price_paise,variant_group,image_slug,image_status,ingredients,allergens,macros,glycaemic_index,sugar_per_serving,rd_review_state,blocking_gaps
2,Hot & Sour,hot-and-sour,Soup,soups,veg,true,99,9900,veg:+0; non-veg:+2100,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
3,Manchow,manchow,Soup,soups,veg,true,99,9900,veg:+0; non-veg:+3100,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
4,Pumkin Soup,pumkin-soup,Soup,soups,veg,true,180,18000,,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
5,Creamy Mushroom & Walnut,creamy-mushroom-and-walnut,Soup,soups,veg,true,180,18000,,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
6,Creamy Chicken,creamy-chicken,Soup,soups,non-veg,false,180,18000,,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description|veg-column-conflict-resolved-from-name
7,Fruity Sprout,fruity-sprout,Salads,salads,veg,true,240,24000,,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
8,Roasted Veggies Quinoa,roasted-veggies-quinoa,Salads,salads,veg,true,240,24000,,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
9,Falfal Green Garden,falfal-green-garden,Salads,salads,veg,true,240,24000,,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
10,Sweet Potato & Goat Cheese Salad,sweet-potato-and-goat-cheese-salad,Salads,salads,veg,true,320,32000,,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
11,"Corn,Cucumber & Edamame Salad",corn-cucumber-and-edamame-salad,Salads,salads,veg,true,280,28000,,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
12,Cranberry Salad(Chicken),cranberry-salad-chicken,Salads,salads,non-veg,false,280,28000,,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
13,Greek Salad,greek-salad,Salads,salads,veg,true,240,24000,veg:+0; non-veg:+4000,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
16,Mushroom White Sauce Pasta,mushroom-white-sauce-pasta,Pasta,pasta,veg,true,260,26000,veg:+0; non-veg:+6000; prawns:+9000,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
17,Arrabiata,arrabiata,Pasta,pasta,veg,true,280,28000,veg:+0; non-veg:+4000; prawns:+7000,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
18,Spaghetti Carbonara,spaghetti-carbonara,Pasta,pasta,non-veg,false,320,32000,non-veg:+0; prawns:+3000,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
19,Spaghetti Puniska,spaghetti-puniska,Pasta,pasta,veg,true,300,30000,veg:+0; non-veg:+4000; prawns:+5000,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
20,Creamy Pesto,creamy-pesto,Pasta,pasta,veg,true,280,28000,veg:+0; non-veg:+4000; prawns:+7000,,MISSING,,,,,,pending_review,image|ingredients|allergens|macros|glycaemic_index|sugar_per_serving|description
